Date,España,Alemania,Corea del Norte
2021-01-08 00:00:00+00:00,2050360.0,1866887.0,0
2021-01-09 00:00:00+00:00,2050360.0,1891581.0,0
2021-01-10 00:00:00+00:00,2050360.0,1908527.0,0
2021-01-11 00:00:00+00:00,2111782.0,1921024.0,0
2021-01-12 00:00:00+00:00,2137220.0,1933826.0,0
2021-01-13 00:00:00+00:00,2176089.0,1953426.0,0
2021-01-14 00:00:00+00:00,2211967.0,1978590.0,0
2021-01-15 00:00:00+00:00,2252164.0,2000958.0,0
2021-01-16 00:00:00+00:00,2252164.0,2019636.0,0
2021-01-17 00:00:00+00:00,2252164.0,2033518.0,0
2021-01-18 00:00:00+00:00,2336451.0,2040659.0,0
2021-01-19 00:00:00+00:00,2370742.0,2052028.0,0
2021-01-20 00:00:00+00:00,2412318.0,2068002.0,0
2021-01-21 00:00:00+00:00,2456675.0,2088400.0,0
2021-01-22 00:00:00+00:00,2499560.0,2106262.0,0
2021-01-23 00:00:00+00:00,2499560.0,2122679.0,0
2021-01-24 00:00:00+00:00,2499560.0,2134936.0,0
2021-01-25 00:00:00+00:00,2593382.0,2141665.0,0
2021-01-26 00:00:00+00:00,2629817.0,2148077.0,0
2021-01-27 00:00:00+00:00,2670102.0,2161275.0,0
2021-01-28 00:00:00+00:00,2705001.0,2178828.0,0
2021-01-29 00:00:00+00:00,2743119.0,2192850.0,0
2021-01-30 00:00:00+00:00,2743119.0,2205171.0,0
2021-01-31 00:00:00+00:00,2743119.0,2216363.0,0
2021-02-01 00:00:00+00:00,2822805.0,2221971.0,0
2021-02-02 00:00:00+00:00,2851869.0,2228085.0,0
2021-02-03 00:00:00+00:00,2883465.0,2237790.0,0
2021-02-04 00:00:00+00:00,2913425.0,2252001.0,0
2021-02-05 00:00:00+00:00,2941990.0,2264909.0,0
2021-02-06 00:00:00+00:00,2941990.0,2275394.0,0
2021-02-07 00:00:00+00:00,2941990.0,2284010.0,0
2021-02-08 00:00:00+00:00,2989085.0,2288545.0,0
2021-02-09 00:00:00+00:00,3005487.0,2291924.0,0
2021-02-10 00:00:00+00:00,3023601.0,2299996.0,0
2021-02-11 00:00:00+00:00,3041454.0,2310233.0,0
2021-02-12 00:00:00+00:00,3056035.0,2320093.0,0
2021-02-13 00:00:00+00:00,3056035.0,2328447.0,0
2021-02-14 00:00:00+00:00,3056035.0,2334561.0,0
2021-02-15 00:00:00+00:00,3086286.0,2338987.0,0
2021-02-16 00:00:00+00:00,3096343.0,2342843.0,0
2021-02-17 00:00:00+00:00,3107172.0,2350399.0,0
2021-02-18 00:00:00+00:00,3121687.0,2360606.0,0
2021-02-19 00:00:00+00:00,3133122.0,2369719.0,0
2021-02-20 00:00:00+00:00,3133122.0,2378883.0,0
2021-02-21 00:00:00+00:00,3133122.0,2386559.0,0
2021-02-22 00:00:00+00:00,3153971.0,2390928.0,0
2021-02-23 00:00:00+00:00,3161432.0,2394811.0,0
2021-02-24 00:00:00+00:00,3170644.0,2402818.0,0
2021-02-25 00:00:00+00:00,3180212.0,2414687.0,0
2021-02-26 00:00:00+00:00,3188553.0,2424684.0,0
2021-02-27 00:00:00+00:00,3188553.0,2434446.0,0
2021-02-28 00:00:00+00:00,3188553.0,2442336.0,0
2021-03-01 00:00:00+00:00,3204531.0,2447068.0,0
2021-03-02 00:00:00+00:00,3130184.0,2451011.0,0
2021-03-03 00:00:00+00:00,3136321.0,2460030.0,0
2021-03-04 00:00:00+00:00,3142358.0,2471942.0,0
2021-03-05 00:00:00+00:00,3149012.0,2482522.0,0
2021-03-06 00:00:00+00:00,3149012.0,2492079.0,0
2021-03-07 00:00:00+00:00,3149012.0,2500182.0,0
2021-03-08 00:00:00+00:00,3160970.0,2505193.0,0
2021-03-09 00:00:00+00:00,3164982.0,2509445.0,0
2021-03-10 00:00:00+00:00,3172101.0,2518591.0,0
2021-03-11 00:00:00+00:00,3178356.0,2532947.0,0
2021-03-12 00:00:00+00:00,3183704.0,2545781.0,0
2021-03-13 00:00:00+00:00,3183704.0,2558455.0,0
2021-03-14 00:00:00+00:00,3183704.0,2569245.0,0
2021-03-15 00:00:00+00:00,3195062.0,2575849.0,0
2021-03-16 00:00:00+00:00,3200024.0,2581329.0,0
2021-03-17 00:00:00+00:00,3206116.0,2594764.0,0
2021-03-18 00:00:00+00:00,3212332.0,2612268.0,0
2021-03-19 00:00:00+00:00,3212332.0,2629750.0,0
2021-03-20 00:00:00+00:00,3212332.0,2645783.0,0
2021-03-21 00:00:00+00:00,3212332.0,2659516.0,0
2021-03-22 00:00:00+00:00,3228803.0,2667225.0,0
2021-03-23 00:00:00+00:00,3234319.0,2674710.0,0
2021-03-24 00:00:00+00:00,3234319.0,2690523.0,0
2021-03-25 00:00:00+00:00,3247738.0,2713180.0,0
2021-03-26 00:00:00+00:00,3255324.0,2734753.0,0
2021-03-27 00:00:00+00:00,3255324.0,2755225.0,0
2021-03-28 00:00:00+00:00,3255324.0,2772401.0,0
2021-03-29 00:00:00+00:00,3270825.0,2782273.0,0
2021-03-30 00:00:00+00:00,3275819.0,2791822.0,0
2021-03-31 00:00:00+00:00,3284353.0,2808873.0,0
2021-04-01 00:00:00+00:00,3291394.0,2833173.0,0
2021-04-02 00:00:00+00:00,3291394.0,2855061.0,0
2021-04-03 00:00:00+00:00,3300965.0,2873190.0,0
2021-04-04 00:00:00+00:00,3300965.0,2885386.0,0
2021-04-05 00:00:00+00:00,3311325.0,2893883.0,0
2021-04-06 00:00:00+00:00,3317948.0,2900768.0,0
2021-04-07 00:00:00+00:00,3326736.0,2910445.0,0
2021-04-08 00:00:00+00:00,3336637.0,2930852.0,0
2021-04-09 00:00:00+00:00,3347512.0,2956316.0,0
2021-04-10 00:00:00+00:00,3347512.0,2980413.0,0
2021-04-11 00:00:00+00:00,3347512.0,2998268.0,0
2021-04-12 00:00:00+00:00,3370256.0,3011513.0,0
2021-04-13 00:00:00+00:00,3376548.0,3022323.0,0
2021-04-14 00:00:00+00:00,3387022.0,3044016.0,0
2021-04-15 00:00:00+00:00,3396685.0,3073442.0,0
2021-04-16 00:00:00+00:00,3407283.0,3099273.0,0
2021-04-17 00:00:00+00:00,3407283.0,3123077.0,0
2021-04-18 00:00:00+00:00,3407283.0,3142262.0,0
2021-04-19 00:00:00+00:00,3428354.0,3153699.0,0
2021-04-20 00:00:00+00:00,3428354.0,3163308.0,0
2021-04-21 00:00:00+00:00,3446072.0,3188192.0,0
2021-04-22 00:00:00+00:00,3456886.0,3217710.0,0
2021-04-23 00:00:00+00:00,3468617.0,3245253.0,0
2021-04-24 00:00:00+00:00,3468617.0,3268645.0,0
2021-04-25 00:00:00+00:00,3468617.0,3287418.0,0
2021-04-26 00:00:00+00:00,3488469.0,3299325.0,0
2021-04-27 00:00:00+00:00,3496134.0,3310301.0,0
2021-04-28 00:00:00+00:00,3504799.0,3332532.0,0
2021-04-29 00:00:00+00:00,3514942.0,3357268.0,0
2021-04-30 00:00:00+00:00,3524077.0,3381597.0,0
2021-05-01 00:00:00+00:00,3524077.0,3400532.0,0
2021-05-02 00:00:00+00:00,3524077.0,3416822.0,0
2021-05-03 00:00:00+00:00,3540430.0,3425982.0,0
2021-05-04 00:00:00+00:00,3544945.0,3433516.0,0
2021-05-05 00:00:00+00:00,3551262.0,3451550.0,0
